OID_,Latitude,Longitude
1,31.337504954618101,-109.037510267122144
2,31.337504955702510,-109.012510261939738
3,31.337504956786756,-108.987510256754703
4,31.337504957870795,-108.962510251567181
5,31.337504958954664,-108.937510246377030
6,31.337504960038363,-108.912510241184364
7,31.337504961121891,-108.887510235989154
8,31.337504962205230,-108.862510230791301
9,31.337504963288374,-108.837510225590947
10,31.337504964371355,-108.812510220388006
11,31.337504965454141,-108.787510215182522
12,31.337504966536777,-108.762510209974508
13,31.337504967619203,-108.737510204763865
14,31.337504968701445,-108.712510199550735
15,31.337504969783506,-108.687510194334976
16,31.337504970865410,-108.662510189116745
17,31.337504971947130,-108.637510183895927
18,31.337504973028633,-108.612510178672537
19,31.337504974110001,-108.587510173446617
20,31.337504975191155,-108.562510168218097
21,31.337504976272125,-108.537510162987104
22,31.337504977352935,-108.512510157753553
23,31.337504978433532,-108.487510152517402
24,31.337504979513973,-108.462510147278749
25,31.337504980594211,-108.437510142037496
26,31.337504981674289,-108.412510136793770
27,31.337504982754151,-108.387510131547486
28,31.337504983833867,-108.362510126298602
29,31.337504984913366,-108.337510121047259
30,31.337504985992695,-108.312510115793302
31,31.337504987071846,-108.287510110536857
32,31.337504988150808,-108.262510105277883
33,31.337504989229576,-108.237510100016308
34,31.337504990308162,-108.212510094752233
35,31.362504958487467,-109.037510268596179
36,31.362504959574160,-109.012510263413517
37,31.362504960660683,-108.987510258228255
38,31.362504961747014,-108.962510253040477
39,31.362504962833171,-108.937510247850085
40,31.362504963919161,-108.912510242657177
41,31.362504965004955,-108.887510237461726
42,31.362504966090583,-108.862510232263631
43,31.362504967176015,-108.837510227063035
44,31.362504968261280,-108.812510221859839
45,31.362504969346336,-108.787510216654113
46,31.362504970431239,-108.762510211445843
47,31.362504971515953,-108.737510206234973
48,31.362504972600476,-108.712510201021587
49,31.362504973684832,-108.687510195805572
50,31.362504974768992,-108.662510190587099
51,31.362504975852982,-108.637510185366025
52,31.362504976936759,-108.612510180142380
53,31.362504978020379,-108.587510174916218
54,31.362504979103822,-108.562510169687471
55,31.362504980187047,-108.537510164456222
56,31.362504981270135,-108.512510159222430
57,31.362504982353020,-108.487510153986008
58,31.362504983435723,-108.462510148747114
59,31.362504984518221,-108.437510143505619
60,31.362504985600538,-108.412510138261638
61,31.362504986682694,-108.387510133015113
62,31.362504987764662,-108.362510127765972
63,31.362504988846432,-108.337510122514374
64,31.362504989928023,-108.312510117260160
65,31.362504991009413,-108.287510112003474
66,31.362504992090638,-108.262510106744230
67,31.362504993171683,-108.237510101482414
68,31.362504994252511,-108.212510096218097
69,31.387504962354669,-109.037510270074108
70,31.387504963443646,-109.012510264891205
71,31.387504964532457,-108.987510259705701
72,31.387504965621087,-108.962510254517682
73,31.387504966709542,-108.937510249327033
74,31.387504967797781,-108.912510244133898
75,31.387504968885867,-108.887510238938191
76,31.387504969973758,-108.862510233739854
77,31.387504971061475,-108.837510228539003
78,31.387504972149028,-108.812510223335565
79,31.387504973236371,-108.787510218129597
80,31.387504974323548,-108.762510212921072
81,31.387504975410536,-108.737510207709946
82,31.387504976497329,-108.712510202496304
83,31.387504977583955,-108.687510197280062
84,31.387504978670393,-108.662510192061333
85,31.387504979756653,-108.637510186840032
86,31.387504980842717,-108.612510181616130
87,31.387504981928604,-108.587510176389728
88,31.387504983014324,-108.562510171160710
89,31.387504984099834,-108.537510165929206
90,31.387504985185160,-108.512510160695157
91,31.387504986270322,-108.487510155458509
92,31.387504987355271,-108.462510150219359
93,31.387504988440057,-108.437510144977608
94,31.387504989524654,-108.412510139733385
95,31.387504990609049,-108.387510134486604
96,31.387504991693287,-108.362510129237208
97,31.387504992777309,-108.337510123985354
98,31.387504993861150,-108.312510118730884
99,31.387504994944827,-108.287510113473942
100,31.387504996028294,-108.262510108214457
101,31.387504997111598,-108.237510102952371
102,31.387504998194693,-108.212510097687812
103,31.412504966219810,-109.037510271555945
104,31.412504967311087,-109.012510266372800
105,31.412504968402160,-108.987510261187040
106,31.412504969493085,-108.962510255998779
107,31.412504970583807,-108.937510250807890
108,31.412504971674334,-108.912510245614499
109,31.412504972764719,-108.887510240418550
110,31.412504973854880,-108.862510235219958
111,31.412504974944881,-108.837510230018864
112,31.412504976034697,-108.812510224815171
113,31.412504977124335,-108.787510219608961
114,31.412504978213772,-108.762510214400194
115,31.412504979303048,-108.737510209188812
116,31.412504980392129,-108.712510203974929
117,31.412504981481010,-108.687510198758432
118,31.412504982569725,-108.662510193539447
119,31.412504983658252,-108.637510188317890
120,31.412504984746601,-108.612510183093747
121,31.412504985834744,-108.587510177867074
122,31.412504986922723,-108.562510172637829
123,31.412504988010529,-108.537510167406069
124,31.412504989098114,-108.512510162171765
125,31.412504990185532,-108.487510156934874
126,31.412504991272762,-108.462510151695469
127,31.412504992359803,-108.437510146453462
128,31.412504993446657,-108.412510141208983
129,31.412504994533332,-108.387510135961946
130,31.412504995619809,-108.362510130712295
131,31.412504996706101,-108.337510125460184
132,31.412504997792222,-108.312510120205474
133,31.412504998878134,-108.287510114948276
134,31.412504999963875,-108.262510109688549
135,31.412505001049418,-108.237510104426207
136,31.412505002134786,-108.212510099161392
137,31.437504970082760,-109.037510273041690
138,31.437504971176324,-109.012510267858303
139,31.437504972269689,-108.987510262672288
140,31.437504973362891,-108.962510257483785
141,31.437504974455901,-108.937510252292640
142,31.437504975548720,-108.912510247099007
143,31.437504976641360,-108.887510241902788
144,31.437504977733823,-108.862510236703969
145,31.437504978826091,-108.837510231502620
146,31.437504979918192,-108.812510226298684
147,31.437504981010100,-108.787510221092219
148,31.437504982101828,-108.762510215883196
149,31.437504983193357,-108.737510210671559
150,31.437504984284711,-108.712510205457434
151,31.437504985375885,-108.687510200240681
152,31.437504986466859,-108.662510195021440
153,31.437504987557656,-108.637510189799642
154,31.437504988648278,-108.612510184575243
155,31.437504989738713,-108.587510179348342
156,31.437504990828952,-108.562510174118813
157,31.437504991919003,-108.537510168886811
158,31.437504993008872,-108.512510163652252
159,31.437504994098550,-108.487510158415105
160,31.437504995188036,-108.462510153175444
161,31.437504996277344,-108.437510147933196
162,31.437504997366474,-108.412510142688461
163,31.437504998455392,-108.387510137441154
164,31.437504999544149,-108.362510132191275
165,31.437505000632711,-108.337510126938895
166,31.437505001721064,-108.312510121683914
167,31.437505002809242,-108.287510116426461
168,31.437505003897247,-108.262510111166478
169,31.437505004985045,-108.237510105903880
170,31.437505006072662,-108.212510100638809
171,31.462504973943602,-109.037510274531343
172,31.462504975039455,-109.012510269347700
173,31.462504976135122,-108.987510264161457
174,31.462504977230594,-108.962510258972699
175,31.462504978325878,-108.937510253781298
176,31.462504979420988,-108.912510248587409
177,31.462504980515906,-108.887510243390949
178,31.462504981610639,-108.862510238191874
179,31.462504982705202,-108.837510232990269
180,31.462504983799580,-108.812510227786078
181,31.462504984893755,-108.787510222579371
182,31.462504985987763,-108.762510217370107
183,31.462504987081577,-108.737510212158213
184,31.462504988175198,-108.712510206943833
185,31.462504989268638,-108.687510201726823
186,31.462504990361904,-108.662510196507341
187,31.462504991454978,-108.637510191285287
188,31.462504992547835,-108.612510186060632
189,31.462504993640547,-108.587510180833462
190,31.462504994733060,-108.562510175603691
191,31.462504995825377,-108.537510170371434
192,31.462504996917506,-108.512510165136632
193,31.462504998009457,-108.487510159899216
194,31.462504999101217,-108.462510154659313
195,31.462505000192788,-108.437510149416795
196,31.462505001284164,-108.412510144171804
197,31.462505002375362,-108.387510138924256
198,31.462505003466369,-108.362510133674107
199,31.462505004557183,-108.337510128421471
200,31.462505005647809,-108.312510123166248
201,31.462505006738247,-108.287510117908539
202,31.462505007828494,-108.262510112648300
203,31.462505008918566,-108.237510107385447
204,31.462505010008424,-108.212510102120106
205,31.487504977802395,-109.037510276024918
206,31.487504978900525,-109.012510270841020
207,31.487504979998459,-108.987510265654521
208,31.487504981096226,-108.962510260465507
209,31.487504982193787,-108.937510255273864
210,31.487504983291185,-108.912510250079734
211,31.487504984388387,-108.887510244883018
212,31.487504985485394,-108.862510239683687
213,31.487504986582234,-108.837510234481840
214,31.487504987678882,-108.812510229277393
215,31.487504988775338,-108.787510224070417
216,31.487504989871628,-108.762510218860911
217,31.487504990967714,-108.737510213648761
218,31.487504992063602,-108.712510208434139
219,31.487504993159320,-108.687510203216874
220,31.487504994254845,-108.662510197997136
221,31.487504995350175,-108.637510192774812
222,31.487504996445331,-108.612510187549901
223,31.487504997540306,-108.587510182322490
224,31.487504998635085,-108.562510177092463
225,31.487504999729659,-108.537510171859950
226,31.487505000824065,-108.512510166624892
227,31.487505001918276,-108.487510161387220
228,31.487505003012298,-108.462510156147047
229,31.487505004106122,-108.437510150904274
230,31.487505005199775,-108.412510145659041
231,31.487505006293237,-108.387510140411223
232,31.487505007386495,-108.362510135160818
233,31.487505008479555,-108.337510129907926
234,31.487505009572452,-108.312510124652448
235,31.487505010665153,-108.287510119394483
236,31.487505011757651,-108.262510114133974
237,31.487505012849962,-108.237510108870865
238,31.487505013942084,-108.212510103605254
239,31.512504981659006,-109.037510277522401
240,31.512504982759403,-109.012510272338261
241,31.512504983859639,-108.987510267151507
242,31.512504984959659,-108.962510261962237
243,31.512504986059533,-108.937510256770338
244,31.512504987159190,-108.912510251575952
245,31.512504988258662,-108.887510246378994
246,31.512504989357971,-108.862510241179407
247,31.512504990457103,-108.837510235977305
248,31.512504991556003,-108.812510230772617
249,31.512504992654737,-108.787510225565384
250,31.512504993753293,-108.762510220355608
251,31.512504994851643,-108.737510215143203
252,31.512504995949822,-108.712510209928325
253,31.512504997047813,-108.687510204710804
254,31.512504998145616,-108.662510199490811
255,31.512504999243212,-108.637510194268245
256,31.512505000340632,-108.612510189043078
257,31.512505001437859,-108.587510183815397
258,31.512505002534908,-108.562510178585114
259,31.512505003631766,-108.537510173352345
260,31.512505004728421,-108.512510168117032
261,31.512505005824913,-108.487510162879104
262,31.512505006921206,-108.462510157638675
263,31.512505008017285,-108.437510152395646
264,31.512505009113198,-108.412510147150144
265,31.512505010208905,-108.387510141902069
266,31.512505011304416,-108.362510136651409
267,31.512505012399753,-108.337510131398261
268,31.512505013494909,-108.312510126142513
269,31.512505014589852,-108.287510120884292
270,31.512505015684617,-108.262510115623527
271,31.512505016779173,-108.237510110360148
272,31.512505017873558,-108.212510105094296
273,31.537504985513543,-109.037510279023820
274,31.537504986616224,-109.012510273839425
275,31.537504987718744,-108.987510268652414
276,31.537504988821055,-108.962510263462889
277,31.537504989923193,-108.937510258270748
278,31.537504991025148,-108.912510253076093
279,31.537504992126909,-108.887510247878879
280,31.537504993228481,-108.862510242679036
281,31.537504994329868,-108.837510237476693
282,31.537504995431068,-108.812510232271720
283,31.537504996532078,-108.787510227064246
284,31.537504997632901,-108.762510221854214
285,31.537504998733539,-108.737510216641567
286,31.537504999833985,-108.712510211426419
287,31.537505000934228,-108.687510206208657
288,31.537505002034305,-108.662510200988393
289,31.537505003134186,-108.637510195765572
290,31.537505004233875,-108.612510190540149
291,31.537505005333376,-108.587510185312212
292,31.537505006432681,-108.562510180081674
293,31.537505007531792,-108.537510174848649
294,31.537505008630720,-108.512510169613051
295,31.537505009729479,-108.487510164374882
296,31.537505010828010,-108.462510159134197
297,31.537505011926360,-108.437510153890912
298,31.537505013024528,-108.412510148645140
299,31.537505014122488,-108.387510143396810
300,31.537505015220294,-108.362510138145893
301,31.537505016317883,-108.337510132892490
302,31.537505017415278,-108.312510127636472
303,31.537505018512487,-108.287510122377981
304,31.537505019609505,-108.262510117116946
305,31.537505020706323,-108.237510111853325
306,31.537505021802936,-108.212510106587203
307,31.562504989365905,-109.037510280529162
308,31.562504990470895,-109.012510275344496
309,31.562504991575672,-108.987510270157244
310,31.562504992680275,-108.962510264967463
311,31.562504993784696,-108.937510259775067
312,31.562504994888922,-108.912510254580155
313,31.562504995992956,-108.887510249382700
314,31.562504997096813,-108.862510244182587
315,31.562504998200470,-108.837510238979974
316,31.562504999303940,-108.812510233774759
317,31.562505000407242,-108.787510228567029
318,31.562505001510321,-108.762510223356742
319,31.562505002613229,-108.737510218143825
320,31.562505003715945,-108.712510212928422
321,31.562505004818480,-108.687510207710403
322,31.562505005920809,-108.662510202489884
323,31.562505007022953,-108.637510197266792
324,31.562505008124909,-108.612510192041114
325,31.562505009226676,-108.587510186812921
326,31.562505010328255,-108.562510181582113
327,31.562505011429632,-108.537510176348832
328,31.562505012530817,-108.512510171112993
329,31.562505013631828,-108.487510165874539
