Latitude,Longitude,SiGeothermometry,SiGeothermometry_StdErr
35.0880585,-108.0405268,32.1397781,18.4710159
35.0802588,-107.9985255,31.6880569,19.2082405
35.0571591,-108.0399265,39.2303276,12.1834259
34.9797616,-107.9061221,16.519434,14.5843868
34.9648617,-107.9451231,23.0961018,19.1525517
34.9562617,-107.9744239,27.3666611,19.2685566
34.9532621,-107.9219223,21.0585136,19.0491619
34.9500577,-108.7806468,6.8573837,11.1407776
34.9355622,-107.983824,29.3408508,19.0476112
34.9200588,-108.690644,11.6786442,8.9212122
34.9100583,-108.8406482,18.8242188,9.2401962
34.8800583,-108.9506511,18.3615246,6.0436468
34.8500702,-106.7672884,75.6322632,24.7573814
34.8000695,-107.1338986,31.2567101,9.784936
34.7833641,-108.2673309,19.9081097,19.0815239
34.7826694,-107.2248011,27.9137363,7.6119399
34.7763725,-106.6264839,60.0040627,21.4660397
34.7500714,-106.9838939,32.5926704,12.4764891
34.7461714,-106.9975943,31.9464722,11.4280005
34.7167723,-106.9505928,33.4370575,14.75949
34.6741753,-106.51578,35.8977661,14.708149
34.6517737,-106.9582925,33.8360176,15.6312637
34.5900664,-108.6906415,23.6937485,10.1841021
34.5794755,-106.9295912,36.6785927,16.8208618
34.5700674,-108.5906385,17.0701637,10.8317146
34.5600676,-108.5906384,19.2278042,10.9907598
34.5400712,-107.9806209,8.3640814,8.2832937
34.530069,-108.4506342,18.5254211,17.0535011
34.5175775,-106.8107873,55.5918694,15.210144
34.4887777,-106.9183902,42.9071388,16.8404236
34.466678,-106.9572912,39.7540474,14.3514395
34.463577,-107.1830976,29.8845234,13.5101843
34.4500691,-108.7906432,19.1301651,10.0845127
34.4173808,-106.6209812,39.009903,11.73594
34.4100717,-108.4806341,30.2878056,19.1653061
34.4100706,-108.6906401,16.1480923,13.2021742
34.4000709,-108.6706394,19.3588276,15.3176279
34.4000708,-108.7006403,16.6543484,13.7109194
34.3833737,-108.2173265,29.8394432,20.3509617
34.3700746,-108.1006231,24.4104881,18.6991272
34.3435815,-106.8207864,45.40028,12.651206
34.3333734,-108.5006341,40.2319145,16.0123215
34.3200719,-108.8506439,20.0820942,16.1316452
34.3167758,-108.1173231,25.9462852,17.7500286
34.3147837,-106.499777,33.6707458,7.1643558
34.3000796,-107.4339036,46.246582,13.2015743
34.2900731,-108.7606411,21.4610233,15.8535013
34.2833809,-107.2505983,45.1740379,14.2755909
34.2833731,-108.7839418,21.2730923,15.0371113
34.2787837,-106.6765818,32.4375153,18.276289
34.2701795,-107.595908,56.8993034,12.3365135
34.2700738,-108.7106396,22.8555851,14.8671808
34.2646814,-107.2363977,45.707531,13.9890985
34.2635793,-107.66911,55.9600372,15.0828476
34.2600742,-108.6906389,24.2508831,14.7884884
34.2519847,-106.6073797,32.0598068,18.2112408
34.2500817,-107.250598,45.5519104,14.268364
34.2448849,-106.6085796,31.8636971,18.7349205
34.2333802,-107.6339088,57.0109634,14.2472801
34.2306828,-107.1196942,45.1277428,14.899169
34.2275826,-107.1765958,45.3468323,11.7698517
34.2217838,-106.942289,47.9757996,15.0727291
34.2118794,-107.8879159,44.7008438,16.0095692
34.2098816,-107.4489034,53.6243515,14.7349262
34.2075811,-107.5793071,54.9500122,14.5768633
34.2021867,-106.4333743,29.1340504,11.4799891
34.2006862,-106.5547778,28.7373638,18.1295528
34.1817847,-106.9572892,46.4922714,14.1837435
34.175686,-106.7146822,26.7365341,14.3985033
34.1747824,-107.4640036,53.0643539,14.2540255
34.1701869,-106.5586777,25.2189713,18.7425022
34.1595842,-107.1788953,46.4070511,13.5582304
34.1500838,-107.3005987,47.2499466,13.8505764
34.146783,-107.4756037,51.9137726,14.1225958
34.1450855,-106.9772895,45.3219604,15.5115194
34.1367827,-107.5923069,54.8376617,13.187623
34.1264851,-107.1496943,46.3887711,14.2842598
34.1250861,-106.9488885,46.0798569,14.7622404
34.1200856,-107.0805923,43.7430153,15.9557619
34.1183837,-107.4789036,52.9568558,13.4836903
34.1167856,-107.0838923,44.2425537,15.8067961
34.1167847,-107.283898,46.9086761,13.1097107
34.1160889,-106.4039729,18.1417103,15.8462229
34.1133863,-106.9522886,47.382679,14.5118818
34.1133862,-106.9755892,48.1382294,15.180131
34.1117864,-106.9405882,47.879509,14.1256075
34.1100833,-107.5948068,54.796833,12.4376497
34.1000874,-106.8005841,42.8962364,25.3282814
34.1000868,-106.9172875,49.6355782,12.7442627
34.1000858,-107.1288935,46.121315,14.5940495
34.1000858,-107.1322936,46.2296677,14.5441103
34.0983838,-107.5423052,58.0419579,10.3838434
34.0967864,-107.0322907,48.4313812,14.786129
34.0962851,-107.2932982,47.158535,13.2685099
34.0883875,-106.8388852,49.4651909,23.2466488
34.0867841,-107.5431052,56.7219696,11.6136332
34.0850868,-106.9955896,45.3745308,13.9244452
34.0850868,-106.9972896,45.3033752,13.9668503
34.0850866,-107.0405909,47.1982727,14.5264482
34.0842854,-107.2934981,47.4110184,13.327734
34.0833868,-107.0005897,45.1252861,13.9650421
34.0833851,-107.3673002,50.3069458,13.8995647
34.0828855,-107.2720975,47.2759438,12.9666014
