OID_,id,gid,Latitude,Longitude,area_or_ams_map,twn_rng_sec,county,state,tect_prov,location_notes,meas_date,drill_date,collar_elevation,drill_depth,water_table,surf_temp,min_temp,max_temp,bot_temp,interval_id,depth,bottom,geoth_grad,geoth_grad_sym,geoth_grad_std_err,cgeoth_grad,cgeoth_grad_sym,cgeoth_grad_std_err,GeothermGrad,smu_id
1,f3d96810-aa12-3004-9d36-5ddf1cd1b436,NM-00026,33.283403100000001,-107.717304499999997,TULAROSA AMS NEW MEXICO,,,NM,BASIN AND RANGE,,,,2065.000000000000000,,,,,,,a,80.000000000000000,200.000000000000000,39.700000000000003,,,39.700000000000003,,,39.700000000000003,SMU 100710
2,a7a298c5-3e8c-3a7e-94f4-bec6de25c6c2,NM-00039,34.560067600000004,-108.590638400000003,ST JOHNS AMS,,,NM,COLORADO PLATEAU,,,,,,,,,,,a,25.000000000000000,35.000000000000000,45.600000000000001,,,45.600000000000001,,,45.600000000000001,SMU 100685
3,e30e3f5c-3257-328a-811e-88264b02e2d7,NM-00046,33.316802400000000,-107.700604200000001,TULAROSA AMS NEW MEXICO,,,NM,BASIN AND RANGE,,,,2050.000000000000000,,,,,,,c,86.000000000000000,162.000000000000000,42.399999999999999,,,42.399999999999999,,,42.399999999999999,SMU 100708
4,e30e3f5c-3257-328a-811e-88264b02e2d7,NM-00046,33.316802400000000,-107.700604200000001,TULAROSA AMS NEW MEXICO,,,NM,BASIN AND RANGE,,,,2050.000000000000000,,,,,,,b,26.000000000000000,67.000000000000000,45.200000000000003,,,45.200000000000003,,,45.200000000000003,SMU 100708
5,e30e3f5c-3257-328a-811e-88264b02e2d7,NM-00046,33.316802400000000,-107.700604200000001,TULAROSA AMS NEW MEXICO,,,NM,BASIN AND RANGE,,,,2050.000000000000000,,,,,,,a,26.000000000000000,162.000000000000000,,,,,,,,SMU 100708
6,d3702868-aa71-3c25-8511-4dc99ad76ae3,NM-00062,32.750124300000003,-106.117255900000004,LAS  CRUCES AMS NEW MEXICO,18S/8E-33,,NM,BASIN AND RANGE,,,,1250.000000000000000,,,,,,,a,72.000000000000000,2341.000000000000000,43.200000000000003,*,,43.200000000000003,*,,43.200000000000003,SMU 100714
7,6569a653-e612-3ebb-b988-fb8796b13794,NM-00063,31.866844199999999,-107.000575200000000,LAS  CRUCES AMS NEW MEXICO,28S/2W-24,,NM,BASIN AND RANGE,,,,1343.000000000000000,,,,,,,a,1168.000000000000000,2239.000000000000000,25.899999999999999,*,,25.899999999999999,*,,25.899999999999999,SMU 100714
8,109be846-9120-324f-8c91-5da5c3683e31,NM-00070,35.633341299999998,-109.033959499999995,GALLUP AMS,,,NM,COLORADO PLATEAU,,,,2070.000000000000000,,,,,,,a,30.000000000000000,80.000000000000000,22.000000000000000,,,22.000000000000000,,,22.000000000000000,SMU 100708
9,4b0c9338-83b8-3e52-af40-ced3c6a28514,NM-00071,35.550044499999998,-108.767351199999993,GALLUP AMS,,,NM,COLORADO PLATEAU,,,,1980.000000000000000,,,,,,,a,70.000000000000000,150.000000000000000,61.799999999999997,,,61.799999999999997,,,61.799999999999997,SMU 100708
10,5e37f293-8d57-3ffa-9d20-a82cdc819a87,NM-00080,34.590066399999998,-108.690641499999998,ST JOHNS AMS,,,NM,COLORADO PLATEAU,,,,,,,,,,,a,30.000000000000000,55.000000000000000,15.800000000000001,,,15.800000000000001,,,15.800000000000001,SMU 100685
11,56afe385-8b98-3ea1-b069-49d624c442b3,NM-00082,35.150065900000001,-106.267276100000004,ALBUQUERQUE AMS,,,NM,BASIN AND RANGE,,,,2090.000000000000000,,,,,,,a,60.000000000000000,140.000000000000000,23.300000000000001,,,23.300000000000001,,,23.300000000000001,SMU 100708
12,45c6beca-9c17-3892-ab62-d561c9c04d13,NM-00087,34.916768699999999,-106.750588399999998,SOCORRO AMS,8N/2E-16,,NM,BASIN AND RANGE,,,,1563.000000000000000,,,,,,,d,5557.000000000000000,6484.000000000000000,38.100000000000001,,,38.100000000000001,,,38.100000000000001,SMU 100714
13,45c6beca-9c17-3892-ab62-d561c9c04d13,NM-00087,34.916768699999999,-106.750588399999998,SOCORRO AMS,8N/2E-16,,NM,BASIN AND RANGE,,,,1563.000000000000000,,,,,,,c,4428.000000000000000,5557.000000000000000,34.399999999999999,,,34.399999999999999,,,34.399999999999999,SMU 100714
14,45c6beca-9c17-3892-ab62-d561c9c04d13,NM-00087,34.916768699999999,-106.750588399999998,SOCORRO AMS,8N/2E-16,,NM,BASIN AND RANGE,,,,1563.000000000000000,,,,,,,b,1524.000000000000000,4428.000000000000000,35.500000000000000,,,35.500000000000000,,,35.500000000000000,SMU 100714
15,45c6beca-9c17-3892-ab62-d561c9c04d13,NM-00087,34.916768699999999,-106.750588399999998,SOCORRO AMS,8N/2E-16,,NM,BASIN AND RANGE,,,,1563.000000000000000,,,,,,,a,1524.000000000000000,6484.000000000000000,35.700000000000003,,,35.700000000000003,,,35.700000000000003,SMU 100714
16,2eea59f1-8158-389f-80bd-a52618228cfb,NM-00088,34.933368799999997,-106.650585699999993,SOCORRO AMS,8N/3E-8,,NM,BASIN AND RANGE,,,,1605.000000000000000,,,,,,,a,1616.000000000000000,3162.000000000000000,38.700000000000003,*,,38.700000000000003,*,,38.700000000000003,SMU 100714
