OID_,OBJECTID,FGDC_code,FeatrClass,FeatrType,Latitude,Longitude,POINT_X,POINT_Y
0,1,18.56,volcanic,vent,31.798498384900000,-107.216083792000006,-115427.604475999993156,3827658.208200000226498
1,2,18.56,volcanic,vent,31.798760396399999,-107.206506638999997,-114518.225076000002446,3827675.209400000050664
2,3,18.56,volcanic,vent,31.806082214200000,-107.203595174000000,-114231.113375999993877,3828485.236399999819696
3,4,18.56,volcanic,vent,31.805980508899999,-107.221403920000000,-115921.374676000006730,3828496.485499999951571
4,5,18.56,volcanic,vent,31.808029612799999,-107.167526391999999,-110805.271475999994436,3828656.994500000029802
5,6,18.56,volcanic,vent,31.812129525000000,-107.209530192000003,-114785.421476000003167,3829164.758400000166148
6,7,18.56,volcanic,vent,31.815327151999998,-107.194922012999996,-113394.489675999997417,3829501.770500000100583
7,8,18.56,volcanic,vent,31.820164700700001,-107.226306158000000,-116365.340775999997277,3830079.037399999797344
8,9,18.56,volcanic,vent,31.836745689499999,-107.196436630999997,-113506.876275999995414,3831883.848900000099093
9,10,18.56,volcanic,vent,31.849283146299999,-107.236278682999995,-117267.569275999994716,3833327.643800000194460
10,11,18.56,volcanic,vent,31.862872054000000,-107.185878103999997,-112467.341476000001421,3834773.944800000172108
11,12,18.56,volcanic,vent,31.865073525400000,-107.113262910000003,-105577.901075999994646,3834931.454700000118464
12,13,18.56,volcanic,vent,31.864643038299999,-107.198709053000002,-113681.557876000006218,3834986.700999999884516
13,14,18.56,volcanic,vent,31.874135569600000,-107.228902433000002,-116530.582876000000397,3836079.734800000209361
14,15,18.56,volcanic,vent,31.877527866800001,-107.103433620999994,-104628.959275999994134,3836304.000500000081956
15,16,18.56,volcanic,vent,31.888602329299999,-107.242923658999999,-117838.085275999997975,3837705.287299999967217
16,17,18.56,volcanic,vent,31.889881604300001,-107.219066429999998,-115574.461175999997067,3837816.792599999811500
17,18,18.56,volcanic,vent,31.897870356399999,-107.243496695000005,-117878.318075999995926,3838735.821099999826401
