OID_,Field1,Longitude,Latitude,GeothermGrad,Kriging_Predicted_Gradient
1,0,-108.8146254,31.8805353,58.7585983,55.9714546
2,1,-106.962288,33.9967891,78.3137131,78.1394806
3,2,-107.5680056,34.0397851,96.9534378,98.2040482
4,3,-108.2673309,34.7833641,19.4983654,23.7173996
5,4,-106.6264839,34.7763725,31.1791668,32.8426933
6,5,-107.5959953,32.4257262,75.9915161,68.4946594
7,6,-107.595908,34.2701795,53.9567719,69.0388031
8,7,-107.0997789,32.0141397,42.9289055,54.5497169
9,8,-107.9806209,34.5400712,30.0269623,33.8802261
10,9,-107.9061221,34.9797616,19.3083324,21.6153526
11,10,-107.7070044,33.3201022,65.2916641,62.6464233
12,11,-108.8298276,32.1434279,339.6225586,345.5487976
13,12,-106.6737705,32.5744265,33.0186386,119.5511551
14,13,-106.9172828,33.4168036,44.9916649,45.1157074
15,14,-107.1436849,32.7635193,72.4881592,55.9191055
16,15,-107.0655913,34.0478874,28.4933815,35.2144127
17,16,-108.8299282,32.2352253,42.2189217,173.7364044
18,17,-106.6338649,31.8501463,102.4135208,90.4360504
19,18,-107.1282818,32.3543303,59.9255676,60.2387352
20,19,-106.7172672,31.8501459,83.2309341,87.0609131
21,20,-106.4039729,34.1160889,51.2249985,51.9172821
22,21,-106.7005675,31.9739426,56.0400887,69.2392273
23,22,-107.5335934,32.405727,58.2182693,67.8916626
24,23,-107.4650021,33.9631875,95.7881851,87.9283829
25,24,-108.5515271,33.1748018,49.0058174,48.8913155
26,25,-107.3173068,35.2000597,37.4833336,33.3663826
27,26,-106.5586777,34.1701869,45.7833328,53.4255028
28,27,-106.9955896,34.0850868,45.2975883,56.922226
29,28,-107.1338903,33.6167976,57.6895752,53.9808464
30,29,-106.9372875,34.0150888,76.7294464,84.1134872
31,30,-106.8436773,32.8905174,57.2833328,59.0015945
32,31,-107.4363913,32.4904252,72.2125015,65.4680252
33,32,-108.2400106,32.0376337,48.2425385,46.6707001
34,33,-107.0217784,32.2877326,49.9524193,53.0520248
35,34,-107.0138897,34.0250882,41.0325775,49.4411583
36,35,-107.2838923,33.2834052,41.4562912,42.2087059
37,36,-108.3756141,32.0001341,42.3543892,45.9771843
38,37,-107.0670782,32.0529388,43.1416664,53.1266022
39,38,-107.983824,34.9355622,19.3083324,21.0731945
40,39,-107.9219223,34.9532621,19.3083324,21.7200127
41,40,-108.8526282,32.1392279,371.6332703,353.7072754
42,41,-107.4518921,32.5490235,72.3716278,64.4536591
43,42,-107.0188901,34.0600873,40.7325935,40.6490173
