,Latitude,Longitude,ChcTemp,geometry,Location,X,Y
0,35.527,-106.527,10.152662,POINT (-11858531.39573505 3954847.54941263),"(-106.527, 35.527)",-11858531.395735053,3954847.54941263
1,35.544261,-106.83004,8.543027,POINT (-11892265.65422505 3956769.035143213),"(-106.83004, 35.544261)",-11892265.654225048,3956769.035143213
2,35.53539,-106.84806,3.2134970000000003,POINT (-11894271.63144914 3955781.519940386),"(-106.84806, 35.53539)",-11894271.631449142,3955781.5199403856
3,35.51815,-106.844505,1.351037,POINT (-11893875.89065937 3953862.371919109),"(-106.844505, 35.51815)",-11893875.890659371,3953862.3719191095
4,35.535790000000006,-106.84783,-2.649098,POINT (-11894246.02796626 3955826.047736703),"(-106.84783, 35.535790000000006)",-11894246.027966259,3955826.0477367034
5,35.544261,-106.83004,-3.524521,POINT (-11892265.65422505 3956769.035143213),"(-106.83004, 35.544261)",-11892265.654225048,3956769.035143213
6,35.51815,-106.844505,-3.566694,POINT (-11893875.89065937 3953862.371919109),"(-106.844505, 35.51815)",-11893875.890659371,3953862.3719191095
7,35.53685,-106.84775,-4.204764,POINT (-11894237.122407 3955944.046396944),"(-106.84775, 35.53685)",-11894237.122406997,3955944.046396944
8,35.53685,-106.84775,-6.592078999999999,POINT (-11894237.122407 3955944.046396944),"(-106.84775, 35.53685)",-11894237.122406997,3955944.046396944
9,35.535790000000006,-106.84783,-8.460917,POINT (-11894246.02796626 3955826.047736703),"(-106.84783, 35.535790000000006)",-11894246.027966259,3955826.0477367034
10,35.51815,-106.844505,-9.381885,POINT (-11893875.89065937 3953862.371919109),"(-106.844505, 35.51815)",-11893875.890659371,3953862.3719191095
11,35.53685,-106.84775,-12.662716,POINT (-11894237.122407 3955944.046396944),"(-106.84775, 35.53685)",-11894237.122406997,3955944.046396944
12,35.53685,-106.84775,-12.985816999999999,POINT (-11894237.122407 3955944.046396944),"(-106.84775, 35.53685)",-11894237.122406997,3955944.046396944
13,35.56368,-106.84756999999999,-13.311810000000001,POINT (-11894217.08489865 3958930.748334927),"(-106.84756999999999, 35.56368)",-11894217.084898653,3958930.748334927
14,35.535790000000006,-106.84783,-13.311810000000001,POINT (-11894246.02796626 3955826.047736703),"(-106.84783, 35.535790000000006)",-11894246.027966259,3955826.0477367034
15,35.51815,-106.844505,-15.914047,POINT (-11893875.89065937 3953862.371919109),"(-106.844505, 35.51815)",-11893875.890659371,3953862.3719191095
16,35.53685,-106.84775,-19.364042,POINT (-11894237.122407 3955944.046396944),"(-106.84775, 35.53685)",-11894237.122406997,3955944.046396944
17,35.535790000000006,-106.84783,-21.502021,POINT (-11894246.02796626 3955826.047736703),"(-106.84783, 35.535790000000006)",-11894246.027966259,3955826.0477367034
18,32.6769,-107.885,87.344607,POINT (-12009703.26423232 3637575.868702721),"(-107.885, 32.6769)",-12009703.264232319,3637575.8687027213
19,32.714,-107.8968,83.155798,POINT (-12011016.83422368 3641705.821811151),"(-107.8968, 32.714)",-12011016.83422368,3641705.821811151
20,32.6401,-107.8731,79.630995,POINT (-12008378.56229188 3633479.311441529),"(-107.8731, 32.6401)",-12008378.56229188,3633479.3114415286
21,32.6641,-107.8857,78.723239,POINT (-12009781.18787587 3636150.979220567),"(-107.8857, 32.6641)",-12009781.187875874,3636150.9792205673
22,32.7066,-107.814,76.873524,POINT (-12001799.580386 3640882.057579282),"(-107.814, 32.7066)",-12001799.580385996,3640882.0575792817
23,32.7459,-107.8896,75.93083,POINT (-12010215.33388997 3645256.913567457),"(-107.8896, 32.7459)",-12010215.333889969,3645256.9135674573
24,32.7486,-107.8356,74.975724,POINT (-12004204.08138713 3645557.476192599),"(-107.8356, 32.7486)",-12004204.081387132,3645557.476192599
25,32.7212,-107.7797,74.007788,POINT (-11997981.32185179 3642507.322144864),"(-107.7797, 32.7212)",-11997981.321851788,3642507.3221448637
26,32.7007,-107.8696,71.022485,POINT (-12007988.9440741 3640225.272583601),"(-107.8696, 32.7007)",-12007988.944074104,3640225.2725836006
27,32.6052,-107.9111,68.959398,POINT (-12012608.70294202 3629594.261212844),"(-107.9111, 32.6052)",-12012608.702942023,3629594.261212844
28,32.745,-107.8898,66.832802,POINT (-12010237.59778813 3645156.726025743),"(-107.8898, 32.745)",-12010237.597788125,3645156.726025743
29,32.75,-107.8914,62.36805699999999,POINT (-12010415.7089734 3645713.323479709),"(-107.8914, 32.75)",-12010415.708973397,3645713.323479709
30,32.746,-107.8887,61.203384,POINT (-12010115.14634825 3645268.045516537),"(-107.8887, 32.746)",-12010115.146348255,3645268.0455165366
31,32.7402,-107.8018,60.017591,POINT (-12000441.48259832 3644622.392469936),"(-107.8018, 32.7402)",-12000441.48259832,3644622.3924699356
32,32.7501,-107.8939,60.017591,POINT (-12010694.00770038 3645724.455428789),"(-107.8939, 32.7501)",-12010694.00770038,3645724.4554287894
33,32.7476,-107.8712,55.042696,POINT (-12008167.05525937 3645446.156701806),"(-107.8712, 32.7476)",-12008167.055259373,3645446.1567018055
34,34.698468,-107.125208,27.460517,POINT (-11925123.60568352 3862615.789066697),"(-107.125208, 34.698468)",-11925123.605683517,3862615.789066697
35,34.816582000000004,-107.382421,33.433254,POINT (-11953756.42586892 3875764.179402255),"(-107.382421, 34.816582000000004)",-11953756.425868925,3875764.179402255
36,34.785711,-107.40171200000002,12.807755,POINT (-11955903.89016582 3872327.635401975),"(-107.40171200000002, 34.785711)",-11955903.890165823,3872327.635401975
37,34.773738,-107.088223,37.070796,POINT (-11921006.45431653 3870994.807138707),"(-107.088223, 34.773738)",-11921006.454316527,3870994.8071387075
38,34.736696,-107.08378400000001,31.517301,POINT (-11920512.3070969 3866871.310560743),"(-107.08378400000001, 34.736696)",-11920512.307096897,3866871.3105607433
39,34.714559,-107.07118700000001,27.460517,POINT (-11919110.01547137 3864407.030993052),"(-107.07118700000001, 34.714559)",-11919110.015471373,3864407.0309930523
40,34.81106,-107.21957900000001,27.460517,POINT (-11935628.93734917 3875149.473174093),"(-107.21957900000001, 34.81106)",-11935628.937349169,3875149.4731740933
41,34.843235,-107.227708,37.070796,POINT (-11936533.85348983 3878731.177790368),"(-107.227708, 34.843235)",-11936533.853489827,3878731.1777903675
42,34.645212,-107.264707,18.206909,POINT (-11940652.56332969 3856687.358265011),"(-107.264707, 34.645212)",-11940652.563329687,3856687.358265011
43,34.687199,-107.48755700000001,20.69004,POINT (-11965460.11185297 3861361.329724948),"(-107.48755700000001, 34.687199)",-11965460.11185297,3861361.329724948
44,34.68319,-107.50576399999999,29.528717999999998,POINT (-11967486.90582184 3860915.049886358),"(-107.50576399999999, 34.68319)",-11967486.90582184,3860915.0498863584
45,34.684301,-107.459208,20.69004,POINT (-11962304.31560847 3861038.725840629),"(-107.459208, 34.684301)",-11962304.31560847,3861038.7258406286
