,OID_,id,gid,Latitude,Longitude,area_or_ams_map,twn_rng_sec,county,state,tect_prov,location_notes,meas_date,drill_date,collar_elevation,drill_depth,water_table,surf_temp,min_temp,max_temp,bot_temp,interval_id,depth,bottom,geoth_grad,geoth_grad_sym,geoth_grad_std_err,cgeoth_grad,cgeoth_grad_sym,cgeoth_grad_std_err,GeothermGrad,smu_id,Latitude0,Longitude0
0,21,e91810ac-81f3-381a-9b2f-f14b2f8955b8,NM-00117,35.6333451,-108.317339,GALLUP AMS,,,NM,COLORADO PLATEAU,,,,2150.0,,,,,,,c,90.0,150.0,54.1,,,54.1,,,54.1,SMU 100708,35.6333451,-108.317339
1,8,109be846-9120-324f-8c91-5da5c3683e31,NM-00070,35.6333413,-109.0339595,GALLUP AMS,,,NM,COLORADO PLATEAU,,,,2070.0,,,,,,,a,30.0,80.0,22.0,,,22.0,,,22.0,SMU 100708,35.6333413,-109.0339595
2,209,3339c8a2-2fa2-368f-b5ea-e0065546a188,NM-06185,35.6254531,-106.7921948,,14N/1E-4,,NM,Basin and Range,Location based on Northing and Easting in 15 minute quad,1/15/1980 0:00:00,,1777.0,36.6,,,15.32,,15.33,a,34.0,36.0,5.0,,,,,,5.0,SMU 100562,35.6254531,-106.7921948
3,171,b67cf5ce-8a35-3619-88bc-cdc586189e8a,NM-06067,35.6015518,-107.1647054,,7N/2W-33,,NM,Basin and Range,Location based on Northing and Easting in 7.5 minute quad,1/19/1979 0:00:00,,1607.0,35.0,,,18.3,18.34,18.26,a,29.0,33.0,10.0,,,,,,10.0,SMU 100562,35.6015518,-107.1647054
4,918,a0663d5b-68b8-33e4-8993-bf5d7d7d07c1,NM-00291,35.5900462,-108.3006381,ZUNI PROSPECT,,,NM,COLORADO PLATEAU,,1/1/1980 0:00:00,,,481.6,,,,23.64,23.64,a,85.29999999999998,481.6,24.0,,,,,,24.0,SMU 1609,35.5900462,-108.3006381
5,846,610e1a38-b2ef-3659-b523-6facb9ea05df,NM-00100,35.590046,-108.330639,GALLUP AMS,,,NM,COLORADO PLATEAU,,,,,,,,,,,a,280.0,433.0,20.8,,,20.8,,,20.8,SMU 100685,35.590046,-108.330639
6,152,0cdcdc66-2dac-3faa-a5ac-7bb3ffe03f87,NM-00709,35.5833568,-106.2172777,ALBUQUERQUE AMS,,,NM,BASIN AND RANGE,,,,1889.0,,,,,,,a,70.0,140.0,39.6,,,39.6,,,39.6,SMU 100634,35.5833568,-106.2172777
7,835,e3c39c3f-780a-30d1-82a6-dfed451145ee,NM-00069,35.5833433,-108.8506539,GALLUP AMS,,,NM,COLORADO PLATEAU,,,,2030.0,,,,,,,a,40.0,80.0,30.8,,,30.8,,,30.8,SMU 100708,35.5833433,-108.8506539
8,162,8cdb7f25-ad24-3da4-be8b-1197be3ef762,NM-06039,35.5754525,-107.1289042,,16N/3W-35,,NM,Basin and Range,Location based on Northing and Easting in 7.5 minute quad,1/10/1980 0:00:00,,1857.0,15.3,6.8,,13.27,,13.25,a,13.3,15.3,0.0,I,,,,,0.0,SMU 100562,35.5754525,-107.1289042
9,139,7235b020-5e33-3561-9a70-df7e93364736,NM-00646,35.5707571,-106.2095774,SANTA FE,,,NM,SOUTHERN ROCKY MTNS.,,,,,,,,,,,a,,,39.6,,,,,,39.6,SMU 1579,35.5707571,-106.2095774
10,521,dba31c81-9a7a-3edd-bd18-775ab51feb61,NM-06425,35.5616565,-106.3796823,Valles Caldera,,,NM,SOUTHERN ROCKY MTNS.,,1/23/1981 0:00:00,,,610.0,,13.1,13.1,115.1,115.1,c,488.0,603.5,250.2,,,,,,250.2,,35.5616565,-106.3796823
11,9,4b0c9338-83b8-3e52-af40-ced3c6a28514,NM-00071,35.5500445,-108.7673512,GALLUP AMS,,,NM,COLORADO PLATEAU,,,,1980.0,,,,,,,a,70.0,150.0,61.8,,,61.8,,,61.8,SMU 100708,35.5500445,-108.7673512
12,70,013075e0-f81e-3141-ab6a-ed8304cc3187,NM-00306,35.5400456,-108.6006464,ZUNI PROSPECT,,,NM,COLORADO PLATEAU,,1/24/1973 0:00:00,,,182.9,,,,22.44,22.44,a,109.7,182.9,24.0,,,,,,24.0,SMU 1609,35.5400456,-108.6006464
13,615,cbccc37d-74a7-38a6-9245-89e10c0c7759,NM-00201,35.5333541,-106.9838997,ALBUQUERQUE AMS,15N/1E-19,,NM,COLORADO PLATEAU,,,,1808.0,,,,,,,a,335.0,595.0,39.4,,,39.4,,,39.4,SMU 0483,35.5333541,-106.9838997
14,73,d8c116a0-2ef0-3138-9040-0fb872461bae,NM-00315,35.5300484,-108.1206325,ZUNI PROSPECT,,,NM,COLORADO PLATEAU,,1/7/1974 0:00:00,,,591.3,,,,27.26,27.26,a,109.7,530.4,24.0,,,,,,24.0,SMU 1609,35.5300484,-108.1206325
15,959,973688e6-9f3d-3c13-a77d-4b333c032c67,NM-00432,35.5217536,-107.1293038,CABEZON PROSPECT,15N/3W-15A,,NM,COLORADO PLATEAU,,1/27/1978 0:00:00,,1791.0,67.1,,,,16.72,16.72,a,30.5,67.1,27.3,,,,,,27.3,SMU 100230,35.5217536,-107.1293038
16,958,2f861874-6858-38b1-88d5-d1aecd82c170,NM-00431,35.5217535,-107.1489044,CABEZON PROSPECT,15N/3W-16C,,NM,COLORADO PLATEAU,,1/24/1978 0:00:00,,1853.0,150.6,,,,17.27,17.27,a,106.7,150.0,40.4,,,,,,40.4,SMU 100230,35.5217535,-107.1489044
17,960,a7d06242-5d1b-3103-bffa-92480f6b5e79,NM-00435,35.5205533,-107.2013059,CABEZON PROSPECT,15N/4W-24AA,,NM,COLORADO PLATEAU,,1/22/1978 0:00:00,,1928.0,143.3,,,,17.08,17.08,a,30.5,143.3,21.8,,,,,,21.8,SMU 100230,35.5205533,-107.2013059
18,155,143e4cab-92f9-30fc-9d26-01f19a244257,NM-00713,35.5167587,-106.1172743,ALBUQUERQUE AMS,,,NM,BASIN AND RANGE,,,,1918.0,,,,,,,a,110.0,160.0,23.7,,,23.7,,,23.7,SMU 100634,35.5167587,-106.1172743
19,112,7a370c21-66e6-3c98-86a7-34cf18c00a83,NM-00434,35.5153535,-107.1798052,CABEZON PROSPECT,15N/3W-17CD,,NM,COLORADO PLATEAU,,1/22/1978 0:00:00,,1899.0,152.4,,,,16.98,16.98,a,30.5,152.4,21.5,,,,,,21.5,SMU 100230,35.5153535,-107.1798052
20,111,d6dc260d-6c3d-36b7-8a71-fc2958511b1f,NM-00433,35.501354,-107.1451041,CABEZON PROSPECT,15N/3W-27B,,NM,COLORADO PLATEAU,,1/27/1978 0:00:00,,1868.0,152.4,,,,19.8,19.8,a,106.7,152.4,54.8,,,,,,54.8,SMU 100230,35.501354,-107.1451041
21,961,75ee06dc-c931-3f96-9581-df6820fcdcf9,NM-00436,35.5003538,-107.1864053,CABEZON PROSPECT,15N/3W-30A,,NM,COLORADO PLATEAU,,1/19/1978 0:00:00,,1902.0,79.29999999999998,,,,16.0,16.0,a,30.5,79.29999999999998,15.1,,,,,,15.1,SMU 100230,35.5003538,-107.1864053
22,153,d36e9133-fc72-3933-aad3-9da93b86e019,NM-00712,35.5000591,-106.1005737,ALBUQUERQUE AMS,,,NM,BASIN AND RANGE,,,,1918.0,,,,,,,a,40.0,120.0,28.2,,,28.2,,,28.2,SMU 100634,35.5000591,-106.1005737
23,849,3d59b40f-5ecc-3101-b103-49ab281f45b4,NM-00104,35.5000486,-108.2106348,GALLUP AMS,,,NM,COLORADO PLATEAU,,,,,,,,,,,a,427.0,793.0,38.4,,,38.4,,,38.4,SMU 100685,35.5000486,-108.2106348
24,847,8e7d06ee-b0e3-3b0e-a5f6-f4789dba1dc9,NM-00102,35.5000461,-108.670648,GALLUP AMS,,,NM,COLORADO PLATEAU,,,,,,,,,,,a,59.0,122.0,29.2,,,29.2,,,29.2,SMU 100685,35.5000461,-108.670648
25,366,523cb8b6-653c-3899-a278-e1de18de6d15,NM-00300,35.4900459,-108.7506503,ZUNI PROSPECT,,,NM,COLORADO PLATEAU,,1/1/1980 0:00:00,,,131.1,,,,21.98,16.21,a,67.1,131.1,32.0,,,,,,32.0,SMU 1609,35.4900459,-108.7506503
26,163,f3a25f73-61f3-35d9-87a5-ce779653515e,NM-06044,35.4888594,-106.0866733,Albuquerque,15N/8E-34,,NM,Basin and Range,Location based on Northing and Easting in 15 minute quad,1/16/1980 0:00:00,,1878.0,50.0,15.0,13.2,13.3,,14.2,a,40.0,50.0,21.3,,,,,,21.3,SMU 100562,35.4888594,-106.0866733
27,164,e86efc47-dc5a-37dc-94d0-acc6906f8f4b,NM-06046,35.4854583,-106.3322804,Albuquerque,15N/6E-32,,NM,Basin and Range,Location based on Northing and Easting in 15 minute quad,1/16/1980 0:00:00,,1677.0,31.2,,15.2,15.28,,15.8,a,26.0,31.2,35.9,,,,,,35.9,SMU 100562,35.4854583,-106.3322804
28,1124,de0693af-dbf5-3852-a1ec-0af04f2d8fa0,NM-06442,35.4791581,-106.3994823,Valles Caldera,,,NM,SOUTHERN ROCKY MTNS.,,1/7/1980 0:00:00,1/7/1980 0:00:00,,152.0,,6.7,6.7,20.3,20.3,a,34.0,122.0,94.93,,,94.93,,,94.93,,35.4791581,-106.3994823
29,259,dc0ddb31-701a-32fe-b916-d108f9321f67,NM-06438,35.479158,-106.4185829,Valles Caldera,,,NM,SOUTHERN ROCKY MTNS.,,1/28/1980 0:00:00,1/14/1980 0:00:00,,103.0,,13.4,13.4,23.1,23.1,a,34.0,67.0,193.13,,,193.13,,,193.13,,35.479158,-106.4185829
30,256,45f5a4de-48a7-3710-8913-cb8bc0e4fc62,NM-06437,35.4785581,-106.4114826,Valles Caldera,,,NM,SOUTHERN ROCKY MTNS.,,1/28/1980 0:00:00,1/19/1980 0:00:00,,150.0,,8.4,8.4,24.7,24.7,b,6.0,64.0,123.9,,,,,,123.9,,35.4785581,-106.4114826
31,260,70e1639d-f240-3832-bd1d-e3a993199f99,NM-06439,35.4716582,-106.4216829,Valles Caldera,,,NM,SOUTHERN ROCKY MTNS.,,1/24/1980 0:00:00,1/12/1980 0:00:00,,149.0,,11.0,11.0,24.9,24.9,a,46.0,150.0,99.85,,,99.85,,,99.85,,35.4716582,-106.4216829
32,801,122fdab2-ff8e-3158-86cf-87fd33846d8c,NM-06443,35.4709583,-106.3961821,Valles Caldera,,,NM,SOUTHERN ROCKY MTNS.,,1/24/1980 0:00:00,1/23/1980 0:00:00,,149.0,,9.7,9.7,17.8,17.8,a,15.0,67.0,96.75,,,96.75,,,96.75,,35.4709583,-106.3961821
33,1123,3b3af7f0-56da-3904-80c5-81e2a3e6d920,NM-06440,35.4709583,-106.4111826,Valles Caldera,,,NM,SOUTHERN ROCKY MTNS.,,1/6/1980 0:00:00,1/5/1980 0:00:00,,110.0,,9.8,9.8,17.6,17.6,a,37.0,70.0,117.15,,,117.15,,,117.15,,35.4709583,-106.4111826
34,292,f621d2ee-162c-3d0e-b77b-ebb92530cfdf,NM-00038,35.4667598,-106.117274,ALBUQUERQUE AMS,,,NM,BASIN AND RANGE,,,,1880.0,280.0,,,,,,a,90.0,280.0,24.4,,0.1,24.4,,,24.4,SMU 100623,35.4667598,-106.117274
35,968,9fecd17f-eed0-3d34-9d48-9d93bd175afc,NM-00499,35.4500602,-106.1005734,ALBUQUERQUE AMS,,,NM,BASIN AND RANGE,,,,1884.0,,,,,,,a,80.0,129.0,26.4,,,26.4,,,26.4,SMU 100634,35.4500602,-106.1005734
36,117,58aeebff-6a57-3dfd-9f8d-2ca3e975559e,NM-00500,35.4500601,-106.1172739,ALBUQUERQUE AMS,,,NM,BASIN AND RANGE,,,,1829.0,,,,,,,a,80.0,184.0,24.9,,,24.9,,,24.9,SMU 100634,35.4500601,-106.1172739
37,170,b7fd1b04-6bda-338f-974e-67db7630c30c,NM-06065,35.4433568,-106.8346947,,15N/1E-28,,NM,Basin and Range,Location based on Northing and Easting in 7.5 minute quad,1/15/1980 0:00:00,,1790.0,36.0,30.0,,16.3,,16.37,a,30.0,36.0,11.7,,,,,,11.7,SMU 100562,35.4433568,-106.8346947
38,169,48352947-80f0-3134-a8df-4162955f4cac,NM-06064,35.4328581,-106.605788,,14N/3E-22,,NM,Basin and Range,Location based on Northing and Easting in 7.5 minute quad,1/15/1980 0:00:00,,1631.0,53.7,42.0,,17.35,,17.8,a,30.0,53.7,19.0,,,,,,19.0,SMU 100562,35.4328581,-106.605788
39,1032,164b892e-1329-3eac-bab3-585152001c29,NM-06045,35.4257599,-106.2685781,Albuquerque,14N/6E-24,,NM,Basin and Range,Location based on Northing and Easting in 15 minute quad,1/16/1980 0:00:00,,1767.0,85.79999999999998,81.0,14.0,14.57,,15.97,a,20.0,80.0,23.8,,,,,,23.8,SMU 100562,35.4257599,-106.2685781
40,451,4e5af6ee-6225-3131-a5c8-3eeea069f153,NM-06047,35.4175594,-106.4102822,Albuquerque,14N/5E-28,,NM,Basin and Range,Location based on Northing and Easting in 15 minute quad,1/16/1980 0:00:00,,1605.0,34.7,22.5,16.1,16.18,,16.46,a,28.0,35.0,1.7,,,,,,1.7,SMU 100562,35.4175594,-106.4102822
41,562,b48521ab-4d9b-3a63-8d99-271fb5e9ea28,NM-00066,35.4167614,-106.0005702,ALBUQUERQUE AMS,,,NM,BASIN AND RANGE,,,,1870.0,,,,,,,a,40.0,200.0,30.9,,,30.9,,,30.9,SMU 100708,35.4167614,-106.0005702
42,359,48f28db5-28a5-3b56-b620-a83aefa400b2,NM-00296,35.4100472,-108.8306519,ZUNI PROSPECT,,,NM,COLORADO PLATEAU,,1/1/1980 0:00:00,,,307.8,,,,24.03,24.03,a,36.6,307.8,45.0,,,,,,45.0,SMU 1609,35.4100472,-108.8306519
43,1000,23f520a4-5dd7-3e49-bfba-687ea458869b,NM-00674,35.400059,-106.5672866,ALBUQUERQUE AMS,,,NM,SOUTHERN ROCKY MTNS.,,,,,23.0,,,,13.1,13.1,a,20.0,23.0,69.3,,,,,,69.3,SMU 1579,35.400059,-106.5672866
44,358,0f76c69b-ba95-37a5-8e15-b4b1d2da40f8,NM-00294,35.3900485,-108.6606469,ZUNI PROSPECT,,,NM,COLORADO PLATEAU,,1/1/1980 0:00:00,,,189.8,,,,18.54,18.54,a,85.29999999999998,189.8,28.0,,,,,,28.0,SMU 1609,35.3900485,-108.6606469
45,72,a5f5bb4f-1abe-30ba-b67f-0c43b332a2c5,NM-00309,35.3800514,-108.1706327,ZUNI PROSPECT,,,NM,COLORADO PLATEAU,,1/3/1974 0:00:00,,,176.8,,,,20.24,20.24,a,36.6,170.7,22.0,,,,,,22.0,SMU 1609,35.3800514,-108.1706327
46,39,edcd0a8c-ddc3-36a7-8c7e-3f654d7eed6c,NM-00183,35.3500596,-106.6672891,ALBUQUERQUE AMS,13N/3E-18,,NM,BASIN AND RANGE,,,,1748.0,,,,,,,a,2115.0,3365.0,34.4,,,34.4,,,34.4,SMU 100714,35.3500596,-106.6672891
47,319,470e19a6-66e0-3a3a-bfc9-f0e749c4c103,NM-00151,35.3333623,-106.183875,ALBUQUERQUE AMS,,,NM,BASIN AND RANGE,,,,2560.0,,,,,,,a,230.0,350.0,27.9,,,27.9,,,27.9,SMU 100708,35.3333623,-106.183875
48,1002,8c95d212-3835-3e71-8058-d717c72c6cfc,NM-00676,35.3333606,-106.5338851,ALBUQUERQUE AMS,,,NM,SOUTHERN ROCKY MTNS.,,,,,34.0,,,,17.6,17.6,a,8.0,34.0,61.2,,,,,,61.2,SMU 1579,35.3333606,-106.5338851
49,873,bcfe9baf-09d7-3bea-932a-87b76faed82a,NM-00185,35.333359,-106.8672948,ALBUQUERQUE AMS,13N/1E-28,,NM,BASIN AND RANGE,,,,1915.0,,,,,,,a,1435.0,2735.0,32.5,*,,32.5,*,,32.5,SMU 100714,35.333359,-106.8672948
50,42,f01cdc16-9502-3023-a6f3-ae5658f66ae8,NM-00188,35.3333552,-107.6173165,ALBUQUERQUE AMS,,,NM,COLORADO PLATEAU,,,,2530.0,,,,,,,c,280.0,400.0,32.2,,,32.2,,,32.2,SMU 100708,35.3333552,-107.6173165
51,138,7b650655-e9c5-3580-a981-e2144fab569f,NM-00638,35.3167627,-106.1672744,ALBUQUERQUE AMS,,,NM,BASIN AND RANGE,,,,2399.0,,,,,,,a,140.0,720.0,18.2,,,18.2,,,18.2,SMU 100634,35.3167627,-106.1672744
